Log File,Avg rpm
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_43_47.ulg,1518.0879
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_52_44.ulg,1517.7113
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_55_28.ulg,1546.4283
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_06_39.ulg,1542.6553
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/07_50_36.ulg,1395.2495
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_44_12.ulg,1449.5308
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_51_34.ulg,1523.4176
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_65_2018-12-5-10-29-48.ulg,1214.8948
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_58_11.ulg,1535.5658
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/08_32_56.ulg,1559.8082
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_31_06.ulg,1566.2002
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_43_10.ulg,1479.3405
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_64_2018-12-5-10-29-32.ulg,1211.832
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_49_12.ulg,1199.0826
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_48_00.ulg,1525.4479
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_47_41.ulg,1457.5026
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_38_57.ulg,1305.9119
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_09_26.ulg,1542.4193
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_43_31.ulg,1539.2397
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_40_29.ulg,1541.0216
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_23_07.ulg,1558.3336
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_38_55.ulg,1528.3296
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_30_35.ulg,1552.2699
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/2019-01-07_13_53_58.ulg,1457.3193
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_51_01.ulg,1413.0708
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/09_26_39.ulg,1575.3038
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_40_04.ulg,1541.6392
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_37_43.ulg,1557.8096
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_46_23.ulg,1463.9629
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_50_15.ulg,1581.561
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/11_28_21.ulg,1563.1793
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/08_07_00.ulg,1196.17
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_48_13.ulg,1452.3649
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_84_2018-12-13-14-58-24.ulg,1533.2954
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_44_12.ulg,1197.4609
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/10_45_05.ulg,1420.2467
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/12_44_21.ulg,1553.2202
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/14_06_05.ulg,1576.0839
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_53_23.ulg,1483.1353
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/log_11_2019-4-17-14-42-38.ulg,1190.0
/home/lucas/Documents/Log_Analysis/Vibrations/Logs/13_43_14.ulg,1554.5024
