SOC,OCV
1.0,4.3426149999999994
0.9999959866113354,4.340107
0.9999892976302278,4.338845
0.9999803789887509,4.34046
0.999971460347274,4.33746
0.9999625417057972,4.34146
0.9999536230643203,4.34146
0.9999447044228434,4.33946
0.9999357857813667,4.33746
0.9999268671398898,4.34046
0.999917948498413,4.34046
0.9999090298569361,4.33846
0.9999001112154592,4.33846
0.9998911925739824,4.34046
0.9998822739325055,4.33746
0.9998733552910286,4.33846
0.9998644366495518,4.34046
0.9998555180080749,4.33646
0.999846599366598,4.33746
0.9998376807251212,4.33846
0.9998287620836444,4.33746
0.9998198434421676,4.33946
0.9998109248006907,4.33846
0.9998020061592138,4.33846
0.999793087517737,4.33846
0.9997841688762601,4.33946
0.9997752502347832,4.33646
0.9997663315933064,4.33746
0.9997574129518295,4.33946
0.9997484943103526,4.33746
0.9997395756688758,4.33446
0.9997306570273989,4.33946
0.9997217383859222,4.33846
0.9997128197444453,4.33646
0.9997039011029684,4.33746
0.9996949824614916,4.33646
0.9996860638200147,4.33646
0.9996771451785378,4.33646
0.999668226537061,4.33746
0.9996593078955841,4.33746
0.9996503892541072,4.33446
0.9996414706126304,4.33846
0.9996325519711535,4.33746
0.9996236333296767,4.33546
0.9996147146881998,4.33646
0.999605796046723,4.33746
0.9995968774052462,4.33746
0.9995879587637693,4.33646
0.9995790401222924,4.33646
0.9995701214808156,4.33646
0.9995612028393387,4.33646
0.9995522841978618,4.33646
0.999543365556385,4.33646
0.9995344469149081,4.33546
0.9995255282734313,4.33746
0.9995166096319544,4.33546
0.9995076909904775,4.33746
0.9994987723490008,4.33746
0.9994898537075239,4.33546
0.999480935066047,4.33646
0.9994720164245702,4.33946
0.9994630977830933,4.33546
0.9994541791416164,4.33546
0.9994452605001396,4.33746
0.9994363418586627,4.33446
0.9994274232171859,4.33546
0.999418504575709,4.33446
0.9994095859342321,4.33646
0.9994006672927553,4.33646
0.9993917486512784,4.33546
0.9993828300098015,4.33646
0.9993739113683248,4.33446
0.9993649927268479,4.33246
0.999356074085371,4.33646
0.9993471554438942,4.33546
0.9993382368024173,4.3334600000000005
0.9993293181609405,4.33546
0.9993203995194636,4.33546
0.9993114808779867,4.33446
0.9993025622365099,4.33546
0.999293643595033,4.33546
0.9992847249535561,4.33546
0.9992758063120794,4.33546
0.9992668876706025,4.33646
0.9992579690291256,4.33446
0.9992490503876488,4.3334600000000005
0.9992401317461719,4.33546
0.9992312131046951,4.33446
